Platform,Content_Type,Category,Follower_Count,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Has_Media,Is_Verified,Score
Instagram,Carousel,Health,373732,11,Sunday,21,188,Negative,True,True,0.15946362953473983
LinkedIn,Article,Gaming,309232,13,Sunday,10,905,Neutral,True,False,0.3643067536335523
Facebook,Live,Health,352767,13,Sunday,10,523,Positive,True,True,0.5742037994634491
Twitter,Tweet,Lifestyle,484615,4,Monday,6,1692,Positive,True,False,0.5082091011581781
Instagram,Reel,Travel,371362,5,Monday,6,561,Positive,True,True,0.46293266744115474
LinkedIn,Article,Lifestyle,309567,6,Monday,24,863,Neutral,True,False,0.3638921547756892
Instagram,Carousel,Health,44931,18,Monday,20,537,Positive,True,False,0.42666041673244054
Twitter,Poll,Fashion,119901,20,Monday,8,180,Positive,True,False,0.17927933898814535
Twitter,Poll,Health,26858,21,Monday,26,1660,Negative,True,True,0.6277756958491798
Facebook,Live,Entertainment,321725,0,Tuesday,24,358,Negative,True,True,0.4264771450765706
TikTok,Video,Business,185278,2,Tuesday,18,478,Negative,False,False,0.8370112604951565
TikTok,Duet,Fashion,371740,3,Tuesday,24,491,Neutral,True,False,0.7400866104114067
Instagram,Carousel,Food,47275,3,Tuesday,28,726,Negative,True,False,0.22368659762708715
Facebook,Story,Entertainment,257653,11,Tuesday,11,1512,Positive,True,False,0.4627437850758301
LinkedIn,Post,Health,277798,11,Tuesday,18,755,Positive,True,False,0.37269499630774866
Instagram,Story,Technology,477456,12,Tuesday,3,965,Negative,True,False,0.5298666492212565
LinkedIn,Poll,Health,74896,16,Tuesday,20,1079,Neutral,False,True,0.2060905862438932
Facebook,Video,Sports,497216,18,Tuesday,5,291,Positive,True,True,0.47180155716292715
YouTube,Community Post,Education,272386,19,Tuesday,2,339,Positive,True,False,0.8238232669084512
Facebook,Video,Gaming,93599,21,Tuesday,8,347,Negative,True,True,0.4789964482854616
Facebook,Live,Business,235288,22,Tuesday,16,42,Neutral,True,False,0.5665039668490623
Facebook,Live,Sports,382495,5,Wednesday,22,490,Positive,True,False,0.5707541195584026
Twitter,Thread,Fitness,351032,10,Wednesday,29,303,Neutral,True,False,0.4497369737819774
YouTube,Community Post,Lifestyle,384995,11,Wednesday,5,1444,Neutral,True,False,0.7578724425023302
Instagram,Photo,Technology,404723,14,Wednesday,15,695,Negative,False,False,0.4564374703233949
LinkedIn,Poll,Lifestyle,406984,15,Wednesday,7,866,Neutral,False,True,0.29451539574965
Twitter,Thread,Education,245639,16,Wednesday,15,228,Neutral,True,False,0.3483536063193049
TikTok,Stitch,Entertainment,52432,21,Wednesday,6,87,Positive,True,False,0.9063347165123663
Instagram,Photo,Food,435000,21,Wednesday,9,1786,Neutral,False,False,0.4554904034957856
TikTok,Duet,Lifestyle,279271,22,Wednesday,18,447,Positive,True,False,0.7955228346911688
Facebook,Live,Sports,261013,0,Thursday,13,573,Positive,True,False,0.5323633708594041
TikTok,Duet,Technology,225519,14,Thursday,5,152,Neutral,True,False,0.8132994951657022
LinkedIn,Article,Sports,333768,21,Thursday,13,931,Neutral,True,True,0.2871764297631642
Facebook,Post,Food,30230,22,Thursday,24,1861,Neutral,True,False,0.44099192240705726
TikTok,Video,Health,86675,8,Friday,28,21,Positive,True,False,0.8749495163623545
Twitter,Poll,Health,466337,12,Friday,16,1184,Neutral,False,False,0.5447058915412307
TikTok,Duet,Gaming,452037,15,Friday,26,16,Neutral,False,True,0.703072581152397
Facebook,Post,Gaming,374670,20,Friday,24,789,Positive,True,False,0.5212301495376298
Facebook,Live,Business,182875,20,Friday,5,326,Positive,True,False,0.4042622879794549
Instagram,Carousel,Food,148198,20,Friday,27,1250,Neutral,True,False,0.23688196292813826
Facebook,Post,Sports,21174,21,Friday,4,1236,Positive,True,False,0.22334667722986423
Instagram,Photo,Gaming,259233,21,Friday,1,1804,Positive,True,True,0.4225511820266865
TikTok,Stitch,Fitness,286335,0,Saturday,9,467,Positive,True,False,0.8043801054224622
Twitter,Thread,Health,475435,7,Saturday,16,554,Positive,True,False,0.5503012161925902
YouTube,Community Post,Health,471826,12,Saturday,13,1970,Negative,True,False,0.8752243453254784
Instagram,Reel,Fitness,351424,18,Saturday,7,205,Neutral,True,False,0.5160319342702178
Twitter,Tweet,Fashion,195649,18,Saturday,24,1569,Neutral,True,False,0.3750361550866596
YouTube,Community Post,Technology,453322,19,Saturday,22,739,Neutral,True,False,0.8466520857299359
Twitter,Thread,Travel,316317,0,Sunday,4,1229,Positive,True,False,0.5601802659913793
LinkedIn,Poll,Sports,70581,5,Sunday,1,550,Positive,True,False,0.1210992953776746
YouTube,Video,Health,223902,9,Sunday,10,160,Positive,True,False,0.8254234298128764
Facebook,Live,Business,328440,21,Sunday,29,311,Positive,True,True,0.38099771884661837
YouTube,Short,Gaming,448840,21,Sunday,12,595,Negative,False,False,0.85923516430145
TikTok,Stitch,Business,295403,5,Monday,8,20,Neutral,True,False,0.8955720657725638
Facebook,Post,Sports,122533,10,Monday,7,1408,Positive,True,True,0.40541729191194054
LinkedIn,Article,Fashion,40387,22,Monday,1,1264,Neutral,False,False,0.37288092024291547
Instagram,Story,Education,235868,2,Tuesday,25,1100,Positive,True,False,0.16197244515043235
Facebook,Video,Technology,128453,6,Tuesday,5,252,Neutral,True,False,0.5048515070806349
Instagram,Photo,Technology,240935,8,Tuesday,20,170,Positive,True,False,0.48655012305047246
Twitter,Retweet,Technology,60754,15,Tuesday,0,702,Negative,True,True,0.3929637608116087
Instagram,Story,Education,209384,23,Tuesday,9,231,Positive,True,False,0.25499242188217447
YouTube,Video,Gaming,8798,6,Wednesday,6,504,Positive,False,False,0.7111495336891627
Facebook,Video,Education,211133,7,Wednesday,26,492,Neutral,False,True,0.2935957282077813
Twitter,Poll,Sports,498316,8,Wednesday,7,1306,Positive,True,True,0.5898627209220747
Facebook,Live,Lifestyle,64065,11,Wednesday,11,595,Neutral,False,False,0.5652584531347594
Instagram,Reel,Health,371799,13,Wednesday,21,99,Positive,True,True,0.4160157491219188
YouTube,Live,Health,216772,16,Wednesday,24,34,Neutral,True,True,0.8727843212045513
Instagram,Photo,Technology,313065,17,Wednesday,10,211,Neutral,True,False,0.3458165730006707
Twitter,Poll,Fitness,216637,19,Wednesday,19,183,Positive,False,False,0.5001830439307212
Facebook,Video,Business,230965,22,Wednesday,6,177,Negative,True,False,0.5677153732547582
Twitter,Retweet,Fitness,94953,22,Wednesday,7,1786,Neutral,True,True,0.5571759700041371
Twitter,Poll,Fashion,417600,11,Thursday,24,1358,Negative,True,False,0.5587261266337636
TikTok,Video,Fashion,334144,11,Thursday,8,199,Negative,True,False,0.5462496117300338
Facebook,Post,Fashion,331736,16,Thursday,26,1143,Positive,True,False,0.4110899539459953
Facebook,Post,Food,191616,1,Friday,23,1621,Positive,True,False,0.5235905942263475
Instagram,Photo,Gaming,389329,19,Friday,25,1257,Neutral,True,False,0.378061392272784
LinkedIn,Poll,Entertainment,419135,20,Friday,7,1133,Neutral,True,False,0.18943790735461458
Facebook,Video,Sports,333889,21,Friday,21,408,Positive,True,False,0.5811814659091374
LinkedIn,Post,Business,344068,3,Saturday,14,1150,Negative,True,False,0.40630292638277044
Instagram,Carousel,Technology,51542,8,Saturday,24,1665,Positive,True,False,0.43526848286116193
Twitter,Retweet,Fitness,105394,12,Saturday,4,520,Neutral,True,False,0.4896295490383435
Facebook,Video,Sports,177685,15,Saturday,9,282,Neutral,True,False,0.43705428161988474
Instagram,Reel,Entertainment,487213,20,Saturday,16,53,Positive,True,False,0.39371264343136797
Facebook,Story,Travel,117699,23,Saturday,27,415,Positive,True,False,0.5357756347419094
Facebook,Post,Sports,220994,1,Sunday,2,833,Neutral,True,False,0.5549845510715511
Instagram,Photo,Travel,383497,1,Sunday,5,314,Positive,True,False,0.3967375814089172
Instagram,Story,Travel,319398,12,Sunday,6,429,Positive,True,False,0.296626909814486
Facebook,Story,Lifestyle,388195,19,Sunday,15,379,Positive,True,True,0.603091460884906
Facebook,Video,Education,197420,22,Sunday,20,489,Positive,True,False,0.4985063281061049
YouTube,Video,Gaming,94188,0,Monday,22,315,Negative,True,False,0.578147003871501
Instagram,Reel,Technology,338316,5,Monday,6,396,Positive,True,True,0.48683053551756905
Facebook,Post,Health,223263,10,Monday,14,1175,Positive,False,False,0.5047104000559964
Instagram,Carousel,Technology,67550,19,Monday,13,1344,Neutral,True,True,0.5106433721536435
Twitter,Tweet,Education,412694,22,Monday,27,1131,Positive,True,True,0.4131433097817441
Facebook,Story,Entertainment,469285,4,Tuesday,9,874,Neutral,True,False,0.461310447601172
Facebook,Story,Health,239280,4,Wednesday,19,1801,Neutral,True,False,0.43173436125269055
Facebook,Live,Gaming,367915,9,Wednesday,10,337,Neutral,True,True,0.34073895093516754
Instagram,Carousel,Entertainment,164423,10,Wednesday,20,549,Positive,True,False,0.40234870944028156
YouTube,Live,Education,39996,16,Wednesday,27,448,Positive,False,True,0.8292352444609355
Facebook,Post,Sports,143074,18,Wednesday,27,1042,Positive,True,False,0.3089995571263543
TikTok,Stitch,Technology,344496,21,Wednesday,17,457,Positive,True,True,0.8537561768111146
LinkedIn,Document,Food,57036,14,Thursday,24,1820,Positive,True,True,0.4010175956895394
Instagram,Photo,Gaming,456679,19,Thursday,19,1434,Negative,True,False,0.5357879185420312
YouTube,Video,Travel,99624,21,Thursday,1,32,Neutral,False,False,0.8957461532394604
Facebook,Live,Gaming,313836,12,Friday,17,120,Neutral,True,False,0.4486131601693778
TikTok,Stitch,Entertainment,162847,15,Friday,14,16,Neutral,False,False,0.8765036779501019
YouTube,Community Post,Health,413785,15,Friday,28,564,Positive,True,False,0.7069980917166483
Instagram,Photo,Technology,351262,16,Friday,1,177,Neutral,True,False,0.3970547020293186
Instagram,Carousel,Gaming,66810,23,Friday,19,699,Neutral,True,False,0.5335263492597191
Facebook,Story,Lifestyle,10611,2,Saturday,17,379,Positive,True,False,0.508068352448347
Instagram,Carousel,Education,224881,4,Saturday,24,1626,Neutral,True,False,0.44219164358691837
Instagram,Story,Food,418644,4,Saturday,22,312,Neutral,True,False,0.473317346810897
LinkedIn,Post,Lifestyle,28123,6,Saturday,7,1132,Positive,True,False,0.35150109439822236
Twitter,Thread,Travel,492341,10,Saturday,25,1198,Positive,True,False,0.47576990714957396
Twitter,Thread,Entertainment,75802,12,Saturday,11,1965,Positive,True,True,0.5538749683611471
TikTok,Video,Lifestyle,208930,14,Saturday,26,259,Neutral,True,False,0.8435417379727675
YouTube,Video,Technology,461106,20,Saturday,24,387,Positive,True,True,0.7984724550847669
Twitter,Tweet,Gaming,474433,22,Saturday,18,1709,Negative,False,False,0.4678925478553381
YouTube,Live,Technology,404640,23,Saturday,10,235,Negative,False,True,0.7156390886851064
Instagram,Reel,Travel,199357,2,Sunday,23,555,Neutral,True,False,0.4617303700207417
Facebook,Post,Food,25271,5,Sunday,15,1971,Neutral,True,False,0.5931566709389723
Instagram,Story,Lifestyle,399546,6,Sunday,24,1747,Negative,True,False,0.4819526539852494
Facebook,Post,Gaming,456017,3,Monday,16,680,Positive,True,True,0.4494414576357248
Twitter,Poll,Lifestyle,235928,7,Monday,10,290,Neutral,True,False,0.5114463997239823
Instagram,Story,Business,286216,10,Monday,22,1440,Positive,True,False,0.5269749312098403
TikTok,Video,Gaming,479906,12,Monday,18,598,Positive,True,False,0.7892101863771038
Twitter,Tweet,Travel,404521,17,Monday,8,1413,Neutral,True,False,0.4914766440699362
YouTube,Short,Travel,431364,18,Monday,15,202,Positive,True,False,0.8198636372048076
Instagram,Carousel,Lifestyle,197652,1,Tuesday,19,827,Neutral,False,False,0.3655718139395645
LinkedIn,Document,Fitness,225511,2,Tuesday,25,1157,Positive,True,False,0.3106320255516785
TikTok,Duet,Lifestyle,216608,2,Tuesday,16,505,Positive,True,True,0.9453012290753431
Facebook,Post,Lifestyle,46036,5,Tuesday,4,1976,Positive,True,False,0.517509310348911
Twitter,Poll,Sports,42382,8,Tuesday,0,197,Positive,False,False,0.5208443816653031
Instagram,Reel,Fitness,171219,12,Tuesday,10,524,Negative,True,True,0.44621566575605465
Twitter,Poll,Lifestyle,448750,15,Tuesday,11,1986,Neutral,True,False,0.431221751213328
TikTok,Stitch,Fitness,134117,15,Tuesday,1,146,Neutral,True,True,0.9097879532232696
Twitter,Poll,Gaming,258757,15,Tuesday,21,1364,Positive,True,False,0.524800689198025
Instagram,Reel,Sports,13508,20,Tuesday,16,518,Neutral,True,False,0.4044854005014978
Facebook,Video,Fashion,141298,2,Wednesday,9,338,Neutral,True,True,0.41348447829703006
LinkedIn,Post,Lifestyle,185414,3,Wednesday,27,457,Negative,True,True,0.3675223494354191
YouTube,Short,Travel,122225,14,Wednesday,3,34,Neutral,True,False,0.8172714628427387
TikTok,Duet,Sports,19618,7,Thursday,8,359,Neutral,False,False,0.5241574147103678
Instagram,Reel,Sports,451007,7,Thursday,20,97,Positive,True,False,0.41732975262993166
TikTok,Duet,Gaming,493280,7,Thursday,29,211,Positive,True,True,0.7464369856728003
Twitter,Poll,Gaming,29355,13,Thursday,29,59,Neutral,True,False,0.5225626139321664
Twitter,Retweet,Fashion,309994,3,Friday,24,286,Neutral,True,True,0.4615686866759185
TikTok,Duet,Education,373219,6,Friday,15,435,Positive,True,False,0.851524861755176
Instagram,Photo,Education,122702,10,Friday,21,1354,Positive,True,False,0.41077145867713927
LinkedIn,Article,Sports,197811,10,Friday,20,1208,Neutral,True,False,0.4625461248496478
Instagram,Reel,Travel,375834,18,Friday,28,100,Positive,True,False,0.3104714244190595
Twitter,Retweet,Entertainment,132708,22,Friday,28,690,Neutral,True,False,0.45811501227279816
Facebook,Live,Business,31008,8,Saturday,9,393,Negative,True,False,0.49418917449112953
Twitter,Retweet,Education,473835,10,Saturday,26,634,Positive,True,True,0.4713623647928134
TikTok,Video,Business,181666,14,Saturday,17,339,Neutral,True,False,0.9545307107863875
YouTube,Community Post,Lifestyle,455183,21,Saturday,28,1309,Positive,True,False,0.8364778639526845
Instagram,Carousel,Health,329817,1,Sunday,13,471,Negative,True,False,0.47301815071720177
Instagram,Carousel,Health,435804,6,Sunday,24,1696,Positive,True,False,0.379821934156547
TikTok,Video,Health,235097,8,Sunday,23,165,Positive,False,True,0.7384990375877245
LinkedIn,Poll,Gaming,83175,9,Sunday,26,1586,Negative,True,False,0.36083190529298126
Instagram,Photo,Gaming,140736,14,Sunday,25,1323,Neutral,True,False,0.42046249271719893
Twitter,Thread,Education,182152,2,Monday,23,590,Positive,False,False,0.5630777537049555
Twitter,Thread,Gaming,183747,9,Monday,8,527,Positive,True,False,0.5398637141322006
LinkedIn,Post,Education,140083,16,Monday,17,1090,Neutral,True,False,0.3921905417997685
Instagram,Reel,Business,40420,21,Monday,2,102,Positive,True,False,0.418300587923177
LinkedIn,Article,Education,443409,2,Tuesday,24,998,Positive,True,False,0.2648303657487389
Facebook,Video,Education,389969,14,Tuesday,29,593,Neutral,True,False,0.5165981976252979
LinkedIn,Poll,Food,40260,17,Tuesday,19,446,Positive,True,True,0.17654101618355328
Instagram,Story,Entertainment,270190,18,Tuesday,10,1831,Positive,True,False,0.3424735346520373
Instagram,Story,Entertainment,53764,22,Tuesday,23,1564,Positive,True,False,0.4987239542211206
LinkedIn,Poll,Gaming,314413,4,Wednesday,8,1273,Negative,True,False,0.2084207926500428
Instagram,Photo,Travel,267799,8,Wednesday,2,349,Neutral,True,False,0.49145268791693
Twitter,Thread,Food,270700,11,Wednesday,6,334,Positive,True,False,0.6130311902774291
YouTube,Video,Technology,159899,14,Wednesday,14,107,Neutral,True,False,0.9050360010701604
LinkedIn,Document,Gaming,429876,17,Wednesday,2,1618,Negative,True,False,0.3297084025043176
TikTok,Video,Fitness,268255,17,Wednesday,19,20,Positive,True,False,0.8610399974069266
Instagram,Carousel,Health,276016,20,Wednesday,17,236,Positive,True,False,0.5209019127273388
TikTok,Duet,Entertainment,471866,0,Thursday,1,110,Neutral,True,False,0.7965169151011092
Twitter,Poll,Technology,170665,1,Thursday,16,810,Neutral,True,False,0.5437907142499815
YouTube,Video,Lifestyle,290432,2,Thursday,4,95,Negative,True,True,0.8554078313731555
LinkedIn,Poll,Gaming,226382,5,Thursday,11,1071,Positive,True,False,0.39893958777607313
Instagram,Story,Sports,211923,6,Thursday,25,736,Positive,True,False,0.41347382024669876
YouTube,Short,Entertainment,416825,9,Thursday,28,88,Neutral,True,True,0.8623682245054877
YouTube,Live,Technology,286934,19,Thursday,25,574,Negative,True,False,0.8513385935924853
Instagram,Story,Technology,205121,21,Thursday,8,720,Negative,True,False,0.5555179092970406
Facebook,Post,Entertainment,314823,23,Thursday,7,1669,Positive,False,True,0.5722040923390458
Instagram,Reel,Fitness,118148,3,Friday,26,319,Neutral,True,True,0.3887133598475619
Instagram,Story,Fitness,261478,8,Friday,29,1847,Negative,True,False,0.44674371564312343
Facebook,Live,Technology,207605,9,Friday,2,121,Neutral,True,True,0.3383652811472536
Twitter,Poll,Travel,272965,12,Friday,9,392,Positive,True,False,0.5844681579393932
Instagram,Photo,Fashion,445619,15,Friday,28,1306,Neutral,True,False,0.531116714434973
TikTok,Video,Business,414409,17,Friday,11,101,Negative,True,False,0.783700056650881
Instagram,Photo,Fashion,264052,7,Saturday,7,1260,Neutral,True,True,0.41864287053371696
TikTok,Video,Sports,107869,9,Saturday,4,260,Positive,True,False,0.7703595934956046
Instagram,Story,Education,161692,11,Saturday,20,620,Neutral,True,False,0.4047069789895329
YouTube,Video,Health,439999,12,Saturday,12,400,Positive,True,False,0.8378092028937492
TikTok,Video,Education,403020,16,Saturday,18,485,Neutral,False,True,0.8975462693136173
Twitter,Thread,Technology,426943,17,Saturday,9,1455,Neutral,True,False,0.4926421721442396
Instagram,Photo,Entertainment,439901,20,Saturday,10,537,Negative,True,True,0.5038928831378123
Instagram,Photo,Fashion,127434,1,Sunday,6,1502,Positive,True,False,0.4949018788891762
LinkedIn,Document,Fashion,415532,2,Sunday,23,1041,Positive,True,False,0.32225760297203637
Facebook,Live,Gaming,181885,4,Sunday,18,342,Neutral,True,False,0.3975810342749361
Twitter,Retweet,Travel,409741,5,Sunday,27,1774,Neutral,True,False,0.6066633983133386
Twitter,Thread,Sports,329234,6,Sunday,23,310,Neutral,False,True,0.4876147992797021
YouTube,Community Post,Health,136789,11,Sunday,22,1486,Positive,True,False,0.6917477919464218
TikTok,Duet,Education,394640,13,Sunday,6,318,Negative,True,False,0.8246545023085697
Instagram,Story,Entertainment,93835,16,Sunday,28,1811,Negative,False,False,0.3119413925076901
Facebook,Story,Technology,103395,23,Sunday,5,168,Positive,True,False,0.6191526324658256
Facebook,Post,Fashion,262224,0,Monday,23,1643,Neutral,True,False,0.5136407671321277
Facebook,Video,Fashion,140341,3,Monday,11,205,Neutral,True,True,0.07804834745360846
Instagram,Reel,Fashion,162007,9,Monday,29,430,Positive,False,False,0.458519671205454
TikTok,Video,Health,122177,11,Monday,17,147,Neutral,True,True,0.8293398266497494
Instagram,Story,Sports,51227,14,Monday,0,1762,Negative,True,False,0.333989437600339
YouTube,Live,Sports,185489,19,Monday,22,57,Positive,True,False,0.8034122297103444
TikTok,Stitch,Travel,58295,7,Tuesday,13,245,Negative,True,False,0.8004962259701315
YouTube,Short,Education,159822,7,Tuesday,26,226,Negative,True,False,0.7068522441450925
Twitter,Poll,Travel,386717,12,Tuesday,15,1973,Neutral,False,False,0.3801753904827234
Instagram,Photo,Travel,131372,13,Tuesday,20,297,Negative,True,True,0.47172580562120553
LinkedIn,Document,Gaming,51556,23,Tuesday,25,1969,Neutral,True,False,0.3827732636317196
YouTube,Video,Fashion,165565,23,Tuesday,8,303,Positive,True,True,0.8177239845120162
LinkedIn,Post,Lifestyle,31552,23,Tuesday,19,120,Negative,True,True,0.45104273289670654
Facebook,Post,Education,140748,1,Wednesday,9,56,Positive,True,False,0.31612695265795787
TikTok,Stitch,Fashion,481961,4,Wednesday,18,506,Negative,False,False,0.75800050939608
LinkedIn,Poll,Business,119280,5,Wednesday,28,158,Neutral,True,False,0.3961004887856592
YouTube,Live,Education,70877,7,Wednesday,7,114,Neutral,True,False,0.8602695874040669
Instagram,Photo,Fashion,117674,8,Wednesday,14,1622,Neutral,True,False,0.36999318073735027
Twitter,Tweet,Technology,45366,9,Wednesday,18,1353,Positive,True,False,0.510313385801328
TikTok,Video,Fitness,274943,13,Wednesday,27,339,Positive,True,True,0.8384858934203979
TikTok,Video,Sports,194449,19,Wednesday,9,444,Neutral,True,False,0.8184538950837217
Instagram,Photo,Health,262252,23,Wednesday,11,1270,Positive,True,True,0.464585677170772
Twitter,Poll,Fitness,261947,23,Wednesday,28,569,Negative,False,False,0.6221864007701924
Twitter,Poll,Technology,119040,1,Thursday,2,719,Positive,True,False,0.43212644569785763
TikTok,Video,Entertainment,271882,1,Thursday,20,231,Neutral,True,False,0.9069711805876013
LinkedIn,Article,Education,228093,3,Thursday,5,135,Positive,True,False,0.33448711802316533
Facebook,Live,Lifestyle,275388,4,Thursday,7,375,Positive,True,False,0.3967616271555723
Instagram,Carousel,Technology,308865,7,Thursday,26,870,Positive,True,True,0.4741425170440655
TikTok,Stitch,Gaming,114666,12,Thursday,13,34,Positive,True,False,0.8315968798021907
TikTok,Video,Travel,369157,13,Thursday,21,264,Negative,True,False,0.8923453977294209
TikTok,Video,Fashion,325890,18,Thursday,17,53,Positive,False,True,0.8147378725420428
TikTok,Duet,Sports,198836,21,Thursday,12,556,Positive,True,False,0.9312787853503041
Twitter,Poll,Health,261770,22,Thursday,21,1473,Negative,True,False,0.6166671493688315
Facebook,Video,Lifestyle,330572,0,Friday,2,316,Positive,True,True,0.5925587124340688
Instagram,Photo,Food,37858,0,Friday,13,93,Negative,True,False,0.5184850262249141
Instagram,Carousel,Food,287672,12,Friday,24,109,Neutral,True,False,0.48024149656163606
Twitter,Poll,Fitness,439716,15,Friday,22,511,Neutral,False,False,0.33252089712400357
Facebook,Post,Food,400708,16,Friday,28,1542,Positive,True,False,0.5542840278212993
TikTok,Video,Food,488724,21,Friday,19,225,Neutral,True,False,0.8420041148081058
Facebook,Video,Fitness,127495,7,Saturday,7,533,Positive,True,False,0.5011352357445336
Instagram,Photo,Gaming,307700,8,Saturday,13,1308,Neutral,True,False,0.5480889193812928
Twitter,Retweet,Technology,212749,19,Saturday,24,1223,Positive,False,False,0.518145160233713
YouTube,Live,Technology,327029,3,Sunday,17,185,Positive,True,False,0.7663502221296257
Twitter,Poll,Lifestyle,49528,4,Sunday,15,1294,Neutral,False,False,0.5725342971292613
YouTube,Short,Travel,379782,5,Sunday,24,72,Positive,True,False,0.8546245066885911
Twitter,Poll,Travel,470421,8,Sunday,12,1359,Negative,True,True,0.48782033878763253
Twitter,Retweet,Technology,16860,11,Sunday,4,420,Neutral,True,False,0.5359850100384344
Instagram,Reel,Health,459961,17,Sunday,16,430,Positive,True,False,0.3266656251791593
TikTok,Duet,Fitness,489066,20,Sunday,1,48,Neutral,True,True,0.9270003406065468
LinkedIn,Poll,Fashion,281612,20,Sunday,19,717,Positive,False,True,0.35370750503820597
TikTok,Stitch,Food,50594,5,Monday,16,372,Neutral,True,True,0.8866381206719494
Instagram,Story,Business,468622,7,Monday,13,419,Neutral,True,False,0.42069681816888405
Facebook,Post,Technology,193720,12,Monday,1,765,Negative,False,True,0.4201229037119403
YouTube,Live,Gaming,114653,15,Tuesday,8,568,Positive,True,False,0.7984115620200031
YouTube,Community Post,Travel,238956,17,Tuesday,25,1004,Neutral,True,False,0.7302380198232676
Instagram,Story,Fitness,27111,17,Tuesday,5,307,Positive,False,False,0.3439123866998513
Facebook,Live,Lifestyle,86384,23,Tuesday,27,540,Positive,True,False,0.351888868790436
LinkedIn,Document,Health,284627,9,Wednesday,4,340,Positive,True,False,0.2682680061474313
LinkedIn,Post,Food,285309,9,Wednesday,29,96,Neutral,True,False,0.059987809035205404
Instagram,Carousel,Health,419792,10,Wednesday,24,1863,Positive,True,False,0.4857093648493241
Facebook,Live,Sports,163730,21,Wednesday,3,364,Positive,False,True,0.5819272338122475
Twitter,Thread,Business,131598,21,Wednesday,25,774,Negative,True,False,0.4243324585272048
